Arquivo,Classe,Total de Pixels
00000000.jpg,personagem_1,10888
00000000.jpg,personagem_2,0
00000001.jpg,personagem_1,1
00000001.jpg,personagem_2,0
00000002.jpg,personagem_1,12659
00000002.jpg,personagem_2,0
00000003.jpg,personagem_1,11903
00000003.jpg,personagem_2,0
00000004.jpg,personagem_1,22916
00000004.jpg,personagem_2,0
00000005.jpg,personagem_1,123
00000005.jpg,personagem_2,0
00000006.jpg,personagem_1,0
00000006.jpg,personagem_2,0
00000007.jpg,personagem_1,264899
00000007.jpg,personagem_2,0
00000008.jpg,personagem_1,3198
00000008.jpg,personagem_2,0
00000009.jpg,personagem_1,34
00000009.jpg,personagem_2,0
00000010.jpg,personagem_1,25618
00000010.jpg,personagem_2,0
00000011.jpg,personagem_1,39085
00000011.jpg,personagem_2,0
00000012.jpg,personagem_1,8448
00000012.jpg,personagem_2,0
00000013.jpg,personagem_1,637979
00000013.jpg,personagem_2,0
00000020.jpg,personagem_1,10332
00000020.jpg,personagem_2,0
00000021.jpg,personagem_1,1334
00000021.jpg,personagem_2,0
00000022.jpg,personagem_1,516
00000022.jpg,personagem_2,0
00000023.jpg,personagem_1,12354
00000023.jpg,personagem_2,0
00000024.jpg,personagem_1,375
00000024.jpg,personagem_2,0
00000025.jpg,personagem_1,0
00000025.jpg,personagem_2,0
00000026.jpg,personagem_1,17448
00000026.jpg,personagem_2,0
00000027.jpg,personagem_1,15961
00000027.jpg,personagem_2,0
00000028.jpg,personagem_1,1067
00000028.jpg,personagem_2,0
00000029.jpg,personagem_1,19
00000029.jpg,personagem_2,0
00000030.jpg,personagem_1,28725
00000030.jpg,personagem_2,0
00000031.jpg,personagem_1,16236
00000031.jpg,personagem_2,0
00000032.jpg,personagem_1,1
00000032.jpg,personagem_2,0
00000033.jpg,personagem_1,84857
00000033.jpg,personagem_2,0
00000034.jpg,personagem_1,6
00000034.jpg,personagem_2,0
00000035.jpg,personagem_1,0
00000035.jpg,personagem_2,0
00000036.jpg,personagem_1,15538
00000036.jpg,personagem_2,0
00000037.jpg,personagem_1,9
00000037.jpg,personagem_2,0
00000038.jpg,personagem_1,19508
00000038.jpg,personagem_2,2
00000039.jpg,personagem_1,267309
00000039.jpg,personagem_2,0
00000040.jpg,personagem_1,350
00000040.jpg,personagem_2,0
00000041.jpg,personagem_1,458
00000041.jpg,personagem_2,0
00000042.jpg,personagem_1,79089
00000042.jpg,personagem_2,0
00000043.jpg,personagem_1,171
00000043.jpg,personagem_2,0
00000044.jpg,personagem_1,7137
00000044.jpg,personagem_2,0
00000045.jpg,personagem_1,17760
00000045.jpg,personagem_2,0
00000046.jpg,personagem_1,0
00000046.jpg,personagem_2,0
00000047.jpg,personagem_1,21110
00000047.jpg,personagem_2,0
00000048.jpg,personagem_1,0
00000048.jpg,personagem_2,0
00000049.jpg,personagem_1,79089
00000049.jpg,personagem_2,0
00000050.jpg,personagem_1,171
00000050.jpg,personagem_2,0
00000051.jpg,personagem_1,7137
00000051.jpg,personagem_2,0
00000052.jpg,personagem_1,17760
00000052.jpg,personagem_2,0
00000053.jpg,personagem_1,0
00000053.jpg,personagem_2,0
00000054.jpg,personagem_1,21110
00000054.jpg,personagem_2,0
00000055.jpg,personagem_1,0
00000055.jpg,personagem_2,0
00000056.jpg,personagem_1,67877
00000056.jpg,personagem_2,0
00000057.jpg,personagem_1,1321
00000057.jpg,personagem_2,0
00000058.jpg,personagem_1,65824
00000058.jpg,personagem_2,0
00000059.jpg,personagem_1,103442
00000059.jpg,personagem_2,0
00000060.jpg,personagem_1,34754
00000060.jpg,personagem_2,0
00000061.jpg,personagem_1,1117
00000061.jpg,personagem_2,0
00000062.jpg,personagem_1,6477
00000062.jpg,personagem_2,0
00000063.jpg,personagem_1,12
00000063.jpg,personagem_2,0
00000064.jpg,personagem_1,27024
00000064.jpg,personagem_2,0
00000065.jpg,personagem_1,420
00000065.jpg,personagem_2,0
00000066.jpg,personagem_1,26773
00000066.jpg,personagem_2,0
00000067.jpg,personagem_1,750
00000067.jpg,personagem_2,0
00000068.jpg,personagem_1,104
00000068.jpg,personagem_2,0
00000069.jpg,personagem_1,0
00000069.jpg,personagem_2,0
00000070.jpg,personagem_1,56773
00000070.jpg,personagem_2,0
00000071.jpg,personagem_1,48302
00000071.jpg,personagem_2,0
00000072.jpg,personagem_1,32289
00000072.jpg,personagem_2,0
00000073.jpg,personagem_1,1
00000073.jpg,personagem_2,0
00000074.jpg,personagem_1,2459
00000074.jpg,personagem_2,0
00000075.jpg,personagem_1,31527
00000075.jpg,personagem_2,0
00000076.jpg,personagem_1,0
00000076.jpg,personagem_2,0
00000077.jpg,personagem_1,578
00000077.jpg,personagem_2,0
00000078.jpg,personagem_1,6473
00000078.jpg,personagem_2,0
00000079.jpg,personagem_1,162517
00000079.jpg,personagem_2,0
00000080.jpg,personagem_1,11178
00000080.jpg,personagem_2,0
00000081.jpg,personagem_1,11136
00000081.jpg,personagem_2,0
00000082.jpg,personagem_1,3353
00000082.jpg,personagem_2,0
00000083.jpg,personagem_1,23087
00000083.jpg,personagem_2,0
00000084.jpg,personagem_1,4804
00000084.jpg,personagem_2,0
00000085.jpg,personagem_1,66089
00000085.jpg,personagem_2,0
00000086.jpg,personagem_1,2
00000086.jpg,personagem_2,0
00000087.jpg,personagem_1,71
00000087.jpg,personagem_2,0
00000089.jpg,personagem_1,0
00000089.jpg,personagem_2,0
00000090.jpg,personagem_1,7162
00000090.jpg,personagem_2,0
00000091.jpg,personagem_1,287154
00000091.jpg,personagem_2,0
00000092.jpg,personagem_1,23123
00000092.jpg,personagem_2,0
00000093.jpg,personagem_1,2208
00000093.jpg,personagem_2,0
00000094.jpg,personagem_1,14222
00000094.jpg,personagem_2,0
00000095.jpg,personagem_1,16
00000095.jpg,personagem_2,0
00000096.jpg,personagem_1,66089
00000096.jpg,personagem_2,0
00000097.jpg,personagem_1,2
00000097.jpg,personagem_2,0
00000098.jpg,personagem_1,71
00000098.jpg,personagem_2,0
00000100.jpg,personagem_1,0
00000100.jpg,personagem_2,0
00000101.jpg,personagem_1,7162
00000101.jpg,personagem_2,0
00000102.jpg,personagem_1,287154
00000102.jpg,personagem_2,0
00000103.jpg,personagem_1,23123
